Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6qlb3j0zGqEe6uWJpQZGxP,"4KWRrTJoM6MhOq3UTYctJV","Menina Veneno","Vôo de Coração","Ritchie",1983-01-01,281293,65,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T03:31:52Z,"pop nacional antigas,rock nacional brasileiro",0.6,0.781,8,-6.444,0,0.0305,0.172,0.000072,0.336,0.746,124.512,4
2Ktn7Hg3jocizpfzYJKLty,"10naVTwNjE50daQVrN0bXh","Malandragem","Cássia Eller (1994)","Cássia Eller",1994-01-17,250372,64,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:06:34Z,"brazilian rock,mpb",0.544,0.689,2,-5.884,0,0.0322,0.11,0,0.168,0.215,133.002,4
4lwUIfJPyeKqGhG9KtHtIv,"10naVTwNjE50daQVrN0bXh","O Segundo Sol","Com Você ... Meu Mundo Ficaria Completo","Cássia Eller",1999-04-12,253159,63,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:06:45Z,"brazilian rock,mpb",0.503,0.794,0,-4.228,1,0.0336,0.218,0,0.265,0.446,145.888,4
6xZ2xoJL9S3PsFhAo4VByM,"10naVTwNjE50daQVrN0bXh","E.C.T. - Ao Vivo","Acústico (Ao Vivo)","Cássia Eller",2001-01-15,210599,43,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:07:20Z,"brazilian rock,mpb",0.666,0.896,7,-8.386,1,0.12,0.67,0.00000299,0.149,0.633,130.093,4
7Gg6RHdXJQeOp7rMChprbT,"10naVTwNjE50daQVrN0bXh","Vá Morar Com O Diabo - Ao Vivo","Acústico (Ao Vivo)","Cássia Eller",2001-01-15,178399,44,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:07:56Z,"brazilian rock,mpb",0.662,0.861,9,-7.166,1,0.19,0.701,0,0.688,0.814,100.33,4
2xHgs203vWxQXiWe0blDtZ,"7jrRQZg4FZq6dwpi3baKcu","Medo Da Chuva","Gita","Raul Seixas",1974-03-29,178333,59,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:09:56Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.394,0.802,2,-4.633,1,0.0784,0.642,0.00239,0.152,0.568,110.686,4
0c1luA21JOCnndDa6Lx86G,"7jrRQZg4FZq6dwpi3baKcu","Sociedade Alternativa","Gita","Raul Seixas",1974-03-29,172733,50,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:10:01Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.492,0.926,7,-4.146,1,0.191,0.647,0,0.381,0.455,107.178,4
6zAxMr8eEf2TKUevXwKykM,"7jrRQZg4FZq6dwpi3baKcu","O Trem Das 7","Gita","Raul Seixas",1974-03-29,158293,53,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:10:08Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.339,0.775,9,-4.79,1,0.0411,0.38,0,0.339,0.523,123.176,4
5Fydh31AheclytAjf3ae2o,"7jrRQZg4FZq6dwpi3baKcu","Meu Amigo Pedro","Há 10 Mil Anos Atrás","Raul Seixas",1976,286000,56,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:10:24Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.522,0.945,7,-2.831,1,0.0848,0.0332,0,0.336,0.852,134.537,4
1W4SPqMmN3vjdYaxiKtfLH,"7jrRQZg4FZq6dwpi3baKcu","Tente Outra Vez","20 Grandes Sucessos De Raul Seixas","Raul Seixas",1998-01-01,144000,37,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:10:35Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.571,0.54,7,-8.818,1,0.0419,0.156,0.0000439,0.086,0.348,132.131,4
1j5i8qd1PkSQAGM5zyonJC,"7jrRQZg4FZq6dwpi3baKcu","Ouro De Tolo","Krig-Ha, Bandolo","Raul Seixas",1973-01-01,172093,61,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:10:42Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.366,0.549,7,-8.914,1,0.0906,0.456,0,0.151,0.826,202.22,4
08sWjLF3GV6bjgh9r7O87H,"7jrRQZg4FZq6dwpi3baKcu","Eu Nasci Há 10 Mil Anos Atrás","20 Grandes Sucessos De Raul Seixas","Raul Seixas",1998-01-01,288800,36,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:10:47Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.484,0.855,9,-9.303,1,0.112,0.193,0,0.121,0.787,135.891,4
0MluJRAWmS2TWaNuvC7DTG,"7jrRQZg4FZq6dwpi3baKcu","Maluco beleza","E-Collection","Raul Seixas",2003-08-04,204666,29,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:10:53Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.242,0.511,0,-12,1,0.0666,0.411,0,0.58,0.552,181.657,4
64G9HFLTZNiEE9OQoKe4fV,"7jrRQZg4FZq6dwpi3baKcu","Sapato 36","As Profecias","Raul Seixas",1991,199533,2,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:10:59Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.369,0.5,9,-11.338,1,0.0422,0.0223,0,0.083,0.56,173.498,3
7iuKgkqlCE1juX4j5RkhR2,"7jrRQZg4FZq6dwpi3baKcu","Quando Você Crescer","Há 10 Mil Anos Atrás","Raul Seixas",1976,256265,39,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:14:21Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.562,0.834,10,-4.791,1,0.0688,0.679,0,0.0961,0.575,99.712,4
24THMB0HIJ7VwhT2rCpLpT,"7jrRQZg4FZq6dwpi3baKcu","Eu Também Vou Reclamar","Há 10 Mil Anos Atrás","Raul Seixas",1976,200840,37,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:16:49Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.478,0.965,0,-3.662,1,0.287,0.577,0,0.404,0.663,91,4
1OmNkmyavVWoIqmWoN29eD,"7jrRQZg4FZq6dwpi3baKcu","O Homem","A Arte De Raul Seixas","Raul Seixas",2015-10-30,183800,26,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:21:30Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.439,0.548,9,-10.884,1,0.0501,0.101,0,0.102,0.354,75.574,4
3yULscfBkF4QTFyBn1ajRo,"7jrRQZg4FZq6dwpi3baKcu","Capim Guiné","Raul Seixas","Raul Seixas",1983-07-01,209040,59,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:24:54Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.714,0.62,7,-12.214,1,0.0635,0.262,0,0.299,0.781,108.137,4
2hLjivRyTbdQtf25alPSFd,"7jrRQZg4FZq6dwpi3baKcu","Metrô 743","As Profecias","Raul Seixas",1991,167466,14,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:25:55Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.624,0.366,2,-12.142,1,0.282,0.656,0,0.181,0.635,88.058,4
4BqoSEpCzwmDPDccUzeYU1,"7jrRQZg4FZq6dwpi3baKcu","As Minas Do Rei Salomão","Raul Seixas Sem Limite","Raul Seixas",2007-01-08,176866,11,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:27:53Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.373,0.961,5,-2.934,0,0.295,0.0143,0,0.188,0.533,140.548,4
7MnT7msJZg3XBAS0OTfGrB,"6tw6EpC9RgmSRZiZg0n22t","Tempo Perdido","Dois","Legião Urbana",1986-01-01,302200,73,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:31:08Z,"brazilian rock,mpb,rock brasiliense,rock nacional brasileiro",0.293,0.662,4,-13.076,0,0.0486,0.0079,0.00112,0.271,0.221,186.007,4
35J9vakuC3f18QTolNAQ6E,"2euX7vCVnJy3TVEGfc0RCl","Epitáfio","A Melhor Banda De Todos Os Tempos Da Última Semana","Titãs",2001-04-04,175373,71,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:31:12Z,"hard rock brasileiro,mpb,pop rock brasileiro,rock nacional brasileiro,rock piauiense",0.723,0.611,7,-7.006,1,0.0303,0.481,0.0000144,0.11,0.261,111.813,4
7dxK6RSoCWZcb5gobxs1h9,"4C4kpaAdp6aKSkguw40SsU","Vamos Fugir","Radiola","Skank",2004-10-01,240133,70,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-05T07:31:22Z,"brazilian rock,latin alternative,manguebeat,mpb,pop rock brasileiro,rock mineiro,rock nacional brasileiro",0.6,0.751,6,-5.66,0,0.0358,0.191,0,0.0846,0.73,135.989,4
7HacxOP2pHeSv1OsraqmDA,"6rNz4V8ocdBOLgXmLxLVcW","Do Lado de Cá","Só Pra Brilhar","Chimarruts",2010-01-01,183106,67,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-06-21T05:46:46Z,"brazilian reggae,reggae gaucho",0.628,0.46,10,-6.764,1,0.0575,0.767,0.0021,0.092,0.677,75.708,4
1op7nM2R2M6FAU6dSCTRWV,"0RSWHhBUwW7lhCqXqxKxWN","Preciso Me Encontrar","Raizes Do Samba","Cartola",1999-01-01,179933,53,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-07-29T20:08:47Z,"bossa nova,mpb,samba,samba-enredo,velha guarda",0.563,0.425,2,-13.814,0,0.0665,0.913,0.0054,0.306,0.679,77.209,4
1QjC2KRzi0Nm3L4AAREwnY,"10naVTwNjE50daQVrN0bXh","Palavras Ao Vento","Com Você ... Meu Mundo Ficaria Completo","Cássia Eller",1999-04-12,213572,66,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-07-31T02:59:58Z,"brazilian rock,mpb",0.392,0.47,9,-4.975,1,0.0305,0.253,0,0.112,0.119,71.803,4
6AgLck54Q7UMolf5WASUEx,"6uTK3YD9CT3pLx2yEfVmXk","Rindo À Toa","Deixa Entrar...","Falamansa",2000,219973,60,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-14T10:30:33Z,"brazilian reggae",0.618,0.563,2,-8.889,1,0.0542,0.478,0,0.0553,0.836,79.824,4
2GtNwUPgxrFYYxQCv73cvp,"4cz8toptnAtxffn7ghNjyp","Bola De Meia, Bola De Gude","14 Bis II","14 Bis",1980-11-25,178266,53,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-15T08:25:14Z,"mpb,pop nacional antigas,pop rock brasileiro,rock mineiro,tropicalia",0.568,0.571,7,-12.495,1,0.165,0.515,0.002,0.18,0.542,106.031,4
6pNbkFk5sfYr0fh3MZO1Ay,"7MnA8pxwugylmIS9NeDJdT","Eu Sou Eu","20 Super Sucessos: Nilton César","Nilton Cesar",2014-08-21,147546,11,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-15T08:37:04Z,"brega,pop nacional antigas",0.771,0.7,1,-8.9,1,0.0256,0.26,0,0.268,0.964,108.023,4
7hkQhMFq4EOTYwX3I7cgmA,"6tw6EpC9RgmSRZiZg0n22t","Será","Legião Urbana","Legião Urbana",1985-01-01,150466,71,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-15T09:03:38Z,"brazilian rock,mpb,rock brasiliense,rock nacional brasileiro",0.281,0.866,0,-10.628,1,0.0647,0.122,0.00355,0.324,0.42,193.928,4
1piM8rR9mhSTPuosi0NKay,"2euX7vCVnJy3TVEGfc0RCl","O Mundo é Bão, Sebastião","A Melhor Banda De Todos Os Tempos Da Última Semana","Titãs",2001-04-04,255933,41,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-17T21:35:25Z,"hard rock brasileiro,mpb,pop rock brasileiro,rock nacional brasileiro,rock piauiense",0.393,0.988,11,-4.332,1,0.0483,0.0145,0.0000805,0.131,0.488,155.853,4
2mLtn7zqcqalNZSfQZ62ko,"65TbyndeGrDlFd4IkZNfbN","Táxi Lunar","Raízes e Frutos","Geraldo Azevedo",1998-05-06,231066,41,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-25T22:56:13Z,"bossa nova,mpb,samba,violao",0.655,0.47,4,-11.395,0,0.0356,0.237,0.00163,0.128,0.577,145.703,4
0dWOiVQwoUYTtXD0VVgmJQ,"77ZUbcdoU5KCPHNUl8bgQy","Chega de Saudade","Rosa Morena","João Gilberto",1961,121986,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-25T22:56:43Z,"bossa nova,brazilian jazz,cool jazz,jazz guitar,samba,violao",0.563,0.242,4,-16.004,0,0.0327,0.743,0,0.166,0.647,87.771,4
3FIuBxOxuQ6kYy8JO0gq2a,"6tOsSffQQIXmK8TqsDck8t","Construção","Construção","Chico Buarque",1971-01-01,383626,60,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-25T23:00:40Z,"bossa nova,fado,mpb,tropicalia",0.479,0.725,4,-5.615,0,0.0298,0.24,0.0000119,0.158,0.595,126.727,4
2GAFZG9Z7UGS1iMm4Idrnr,"6tOsSffQQIXmK8TqsDck8t,3SKTkAUNa3oUa2rkd8DAyM,177N2fB1WvNBCQ4epjMQ3O","Apesar De Você","Chico Buarque","Chico Buarque,MPB4,Quarteto Em Cy",1978-01-01,235546,64,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-25T23:01:49Z,"bossa nova,fado,mpb,tropicalia,velha guarda",0.568,0.574,4,-8.993,0,0.0683,0.468,0,0.362,0.68,107.821,4
0rfbvwLPBLBsEd4Bxz8IVb,"6tOsSffQQIXmK8TqsDck8t,3Bnq7jiU506HcPjRgQ43TM","O Que Será (A Flor Da Terra)","Meus Caros Amigos","Chico Buarque,Milton Nascimento",1976-01-01,166573,58,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-25T23:01:56Z,"bossa nova,fado,mpb,tropicalia,musica popular mineira,samba",0.435,0.671,2,-10.75,0,0.0586,0.487,0,0.589,0.792,157.564,4
6AJYtpqykx9k7Yn6vrUSmp,"72f733zGuCPEzCSLs9wOVi,4EUuQxMNowMUEs5gu4BzBX","Biscate","Chico - Artista Brasileiro (Trilha Sonora do Filme)","Adriana Calcanhotto,Mart'nália",2015-11-13,107040,32,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-25T23:02:29Z,"bossa nova,mpb,nova mpb,pagode,samba",0.755,0.505,10,-7.925,0,0.142,0.406,0,0.129,0.742,79.988,4
2IcsM3hXMRpN6ZGEvwdqxU,"4Z0yuwHVJBROVZqFpTIr0d,3tWVgYrn2htmCQesDIlByw","Primeiros Erros (Chove) (feat. Kiko Zambianchi) - Ao Vivo","Acústico Capital Inicial","Capital Inicial,Kiko Zambianchi",2000,244266,68,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-08-26T13:46:21Z,"brazilian rock,pop rock brasileiro,rock brasiliense,rock nacional brasileiro",0.544,0.67,2,-7.694,1,0.0283,0.142,0.00000765,0.742,0.24,119.946,4
0NFVg74sSsdU1gNc9xfpIO,"7EM9m7HOXxVgP9oEpDDv70","Aonde Quer Que Eu Vá","Arquivo II 1991 - 2000","Os Paralamas Do Sucesso",2000-01-01,257333,70,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-19T01:49:23Z,"brazilian rock,latin alternative,latin rock,mpb,rock nacional brasileiro",0.6,0.537,0,-7.972,1,0.0273,0.509,0.303,0.101,0.316,78.049,4
5t6QgW9guk6MRptJJWgsFY,"4C4kpaAdp6aKSkguw40SsU","Vou Deixar","Cosmotron","Skank",2003-06-15,273533,66,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-21T06:12:04Z,"brazilian rock,latin alternative,manguebeat,mpb,pop rock brasileiro,rock mineiro,rock nacional brasileiro",0.509,0.846,2,-6.707,1,0.0369,0.033,0.0000437,0.12,0.753,135.844,4
4d0DpU7Odiv0ztvX2GxJlk,"1PwOU6fFbmaGkK3wkbb8fU","Exagerado","Exagerado","Cazuza",1985,223400,71,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-21T07:10:57Z,"brazilian rock,mpb,rock nacional brasileiro",0.678,0.663,7,-7.726,1,0.0307,0.0874,0.0161,0.615,0.822,136.388,4
1DYzTTaSD8KsmzedIuZTO7,"7jrRQZg4FZq6dwpi3baKcu","Gita","20 Grandes Sucessos De Raul Seixas","Raul Seixas",1998-01-01,288933,50,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-21T07:17:52Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.494,0.691,9,-7.233,1,0.0368,0.0599,0.00633,0.0649,0.722,111.175,4
025zQ5QUS3bauhTtYx1ha2,"7jrRQZg4FZq6dwpi3baKcu","Ouro De Tolo","20 Grandes Sucessos De Raul Seixas","Raul Seixas",1998-01-01,170493,35,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-21T07:19:38Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.555,0.468,7,-11.903,1,0.0487,0.601,0,0.19,0.832,101.53,4
46s6p0tsgRBfzWriIg3w9o,"6tw6EpC9RgmSRZiZg0n22t","Pais E Filhos","As Quatro Estações","Legião Urbana",1989,308800,68,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-21T07:20:35Z,"brazilian rock,mpb,rock brasiliense,rock nacional brasileiro",0.601,0.263,7,-16.087,1,0.0273,0.17,0.0000262,0.0971,0.688,89.873,4
7uscfoAoI65JcSY4NyHg1t,"6tw6EpC9RgmSRZiZg0n22t","Ainda É Cedo","Legião Urbana","Legião Urbana",1985-01-01,237733,63,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-21T07:20:42Z,"brazilian rock,mpb,rock brasiliense,rock nacional brasileiro",0.612,0.675,2,-10.39,1,0.0388,0.32,0.00093,0.0861,0.803,148.336,4
6HwYipccSCGfJfsr2RQSGi,"6tw6EpC9RgmSRZiZg0n22t","Eduardo E Mônica","Mais Do Mesmo","Legião Urbana",1998-01-01,271173,49,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-21T07:20:49Z,"brazilian rock,mpb,rock brasiliense,rock nacional brasileiro",0.675,0.529,9,-9.598,1,0.0346,0.464,0.00027,0.118,0.569,79.246,4
3ZRRIlSvOctKY5NqlRESgA,"2JnNhPT0sQvhKOyLqDKRuP","Tocando Em Frente","Além do Tempo","Almir Sater",2015-09-11,209506,59,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-23T18:05:54Z,"folk brasileiro,mpb,sertanejo,sertanejo tradicional,viola caipira",0.616,0.299,9,-10.904,1,0.0273,0.881,0.00000485,0.114,0.478,94.835,3
6HhXiy5XZ81Pyv3yCZMtj1,"10naVTwNjE50daQVrN0bXh,7n1XMwvxPf10t4OX6h6Ufy","Relicário - Ao Vivo","Acústico (Ao Vivo)","Cássia Eller,Nando Reis",2001-01-15,246492,67,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-25T17:22:51Z,"brazilian rock,mpb,pop rock brasileiro",0.3,0.7,2,-6.567,1,0.036,0.53,0,0.186,0.398,165.642,4
0VuyAK8iEZkQxHfmBV6MMm,"5AlUDdksfPP7l4Qm22MJA9","Outro lugar","Detonautas (Nova Versão)","Detonautas Roque Clube",2003-01-27,228400,61,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-25T17:55:01Z,"brazilian rock,pop rock brasileiro,rock alternativo brasileiro",0.637,0.848,11,-5.968,0,0.0398,0.0037,0.0000259,0.123,0.522,112.993,4
3eW8Di8rolVzktc3xW7hba,"4C4kpaAdp6aKSkguw40SsU","Ainda Gosto Dela","#1 Hits","Skank",2013-01-28,313106,58,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-09-26T18:17:06Z,"brazilian rock,latin alternative,manguebeat,mpb,pop rock brasileiro,rock mineiro,rock nacional brasileiro",0.693,0.761,11,-6.71,0,0.0265,0.0496,0.00000311,0.0928,0.718,122.002,4
0a5R6GkGni9S0RnrjYI5Zh,"7rPqFVgJYARiFsLDlN6W6y","Ao Que Vai Chegar","Seu Violão e Suas Canções Vol. 1","Toquinho",2010-07-24,153146,36,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-10-24T19:43:18Z,"bossa nova,mpb,samba,velha guarda,violao",0.558,0.257,2,-12.271,1,0.0389,0.964,0.00619,0.117,0.451,147.595,4
2kVm4qAAXR7qUfHdiKg0qI,"7jrRQZg4FZq6dwpi3baKcu","Cowboy Fora Da Lei","Uah-Bap-Lu-Bap-Lah-Bein-Bum","Raul Seixas",1987-07-14,216426,61,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-11-06T10:12:21Z,"mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro",0.429,0.739,7,-7.816,1,0.0678,0.0565,0,0.268,0.833,172.512,4
6ttKOudrrD5yjt4saUjhNa,"6tw6EpC9RgmSRZiZg0n22t","Faroeste Caboclo","Que Pais E Este","Legião Urbana",1987,547000,63,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-11-06T10:13:29Z,"brazilian rock,mpb,rock brasiliense,rock nacional brasileiro",0.43,0.549,7,-12.956,1,0.0629,0.0425,0.00002,0.252,0.444,89.748,4
7KsQssGg3DaovFkd9Kbnc6,"0FMucZsEnCxs5pqBjHjIc8,77ZUbcdoU5KCPHNUl8bgQy,5rX2c1zow6hCph8PnnU3kF,3pO5VjZ4wOHCMBXOvbMISG","Corcovado","Getz/Gilberto","Stan Getz,João Gilberto,Astrud Gilberto,Tom Jobim",1964-04,258560,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-12-02T17:37:25Z,"bebop,bossa nova,cool jazz,jazz,jazz saxophone,latin jazz,samba-jazz,vocal jazz,brazilian jazz,jazz guitar,samba,violao,lounge,brazilian classical,latin classical,mpb",0.517,0.0854,0,-17.722,1,0.0483,0.935,0.00762,0.284,0.391,126.854,4
1XoqYXr8L0X7kpivUph328,"65TbyndeGrDlFd4IkZNfbN","Dona Da Minha Cabeça - Ao Vivo","O Grande Encontro 3","Geraldo Azevedo",2000-11-01,241600,40,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-12-09T22:26:10Z,"bossa nova,mpb,samba,violao",0.57,0.693,11,-5.234,0,0.0841,0.611,0,0.97,0.614,142.064,4
1zLfdcVHsyB4Nw6IVfAPtV,"5JYtpnUKxAzXfHEYpOeeit","Oba, Lá Vem Ela","Força Bruta (1970)","Jorge Ben Jor",1970,252506,0,spotify:user:222b6a7rurhvs6p4ficngkzzy,2018-12-09T22:52:26Z,"bossa nova,manguebeat,mpb,samba,samba-rock,tropicalia",0.518,0.617,0,-6.676,1,0.0497,0.669,0.000145,0.597,0.508,98.858,4
